iter	MultiClass
0	1.080731377
1	1.066591744
2	1.054882788
3	1.044467989
4	1.036239817
5	1.028571054
6	1.022072587
7	1.016441867
8	1.01117297
9	1.00571313
10	1.001131984
11	0.9963501709
12	0.9925425882
13	0.9892457581
14	0.9862115129
15	0.9833716832
16	0.9802989809
17	0.9773924036
18	0.9750882279
19	0.9729025903
20	0.971284489
21	0.9690524091
22	0.9671383285
23	0.965573511
24	0.9641962784
25	0.9626466208
26	0.9612181425
27	0.9602104738
28	0.9589474001
29	0.957706512
30	0.9566231159
31	0.9556483424
32	0.9546343117
33	0.9538268594
34	0.9531096816
35	0.9520972228
36	0.9513205962
37	0.950518938
38	0.9497204433
39	0.948859263
40	0.9482235198
41	0.9476418278
42	0.9469374114
43	0.9463273529
44	0.945649777
45	0.9450186058
46	0.9444895763
47	0.9439743664
48	0.9432741499
49	0.9427002678
50	0.94238584
51	0.9421069267
52	0.9416788637
53	0.9412539637
54	0.9408778242
55	0.9405801972
56	0.9401149681
57	0.9397913172
58	0.9394818822
59	0.9390807908
60	0.9387485499
61	0.9384547907
62	0.9380950794
63	0.9378268634
64	0.937598001
65	0.9373565889
66	0.9369515065
67	0.9367937018
68	0.9365693443
69	0.9363385387
70	0.936146091
71	0.9360019884
72	0.9356896995
73	0.9354492417
74	0.9352834691
75	0.9350080028
76	0.9348680514
77	0.9346129561
78	0.9343745971
79	0.9341886329
80	0.934050534
81	0.9337018192
82	0.9335958246
83	0.9334810133
84	0.9332977079
85	0.9330698253
86	0.9328502708
87	0.9326376774
88	0.9325025323
89	0.9323530924
90	0.9321560821
91	0.9320078343
92	0.931910655
93	0.9317566594
94	0.9316149872
95	0.9315173898
96	0.931441431
97	0.9313251607
98	0.9311877529
99	0.9310994328
100	0.9308256362
101	0.9306642131
102	0.9305415736
103	0.9303153272
104	0.9302513294
105	0.9301547001
106	0.9299480024
107	0.9298023014
108	0.9296830987
109	0.9294770596
110	0.9293646565
111	0.9292725677
112	0.9291673733
113	0.9289959042
114	0.9289029536
115	0.9287830347
116	0.9285943697
117	0.9283947262
118	0.9282430538
119	0.9281439372
120	0.9280263925
121	0.9279275331
122	0.9278263135
123	0.9277097816
124	0.9276331766
125	0.9274643269
126	0.927249532
127	0.9270814132
128	0.9269729216
129	0.9268701285
130	0.9267500276
131	0.9266271939
132	0.9265553646
133	0.9264148594
134	0.9263129928
135	0.9262029149
136	0.9261177099
137	0.9260453561
138	0.9258695563
139	0.9257565343
140	0.9256957102
141	0.9256162084
142	0.9255282447
143	0.9253725739
144	0.9252553777
145	0.9252022181
146	0.9251350401
147	0.925102555
148	0.925021659
149	0.9249321209
150	0.9248408937
151	0.9247325578
152	0.9246028693
153	0.9245449345
154	0.9244560627
155	0.9244061414
156	0.9243386986
157	0.9242742559
158	0.9241971767
159	0.9241157598
160	0.9240414023
161	0.9239768311
162	0.9239355686
163	0.9238965335
164	0.9238262539
165	0.9236572835
166	0.923560799
167	0.9234499776
168	0.9233430736
169	0.9232306672
170	0.923185546
171	0.923140594
172	0.923011028
173	0.9229779009
174	0.9229233908
175	0.9228693824
176	0.9228023247
177	0.9227475024
178	0.9226197888
179	0.9225804091
180	0.9225105623
181	0.9224132958
182	0.9223754203
183	0.9223141254
184	0.9222414721
185	0.9221683739
186	0.9221343035
187	0.9220609504
188	0.9220061931
189	0.9219628126
190	0.921922484
191	0.9218728517
192	0.9217851605
193	0.9217517676
194	0.9216397544
195	0.9215699302
196	0.9215378121
197	0.9214750981
198	0.9213990739
199	0.9213656541
200	0.9213296335
201	0.9213036395
202	0.9212550571
203	0.9211893569
204	0.921098431
205	0.9210435298
206	0.9209780712
207	0.9209255739
208	0.9208808437
209	0.9208509833
210	0.920806266
211	0.9207630032
212	0.920742387
213	0.9207039356
214	0.9206267956
215	0.9205327891
216	0.9204737672
217	0.9204086628
218	0.9203949288
219	0.9203696498
220	0.9203361856
221	0.9201919887
222	0.9201807065
223	0.9201565242
224	0.9201260893
225	0.9200737949
226	0.9200435203
227	0.919938893
228	0.9199106798
229	0.9198567512
230	0.9198087913
231	0.9197686861
232	0.9197347252
233	0.9197071526
234	0.919685511
235	0.9196272437
236	0.9196021909
237	0.9195424936
238	0.9195233398
239	0.9194862387
240	0.9194541538
241	0.9194294382
242	0.9194147395
243	0.9193917678
244	0.9193558693
245	0.9193292943
246	0.9192678289
247	0.9192155374
248	0.9191604775
249	0.9190831085
250	0.919008008
251	0.9189750831
252	0.9189264284
253	0.9189067722
254	0.9188908516
255	0.9188589976
256	0.9188051035
257	0.9187644664
258	0.9187380196
259	0.9187179506
260	0.918676235
261	0.9186295071
262	0.9185824282
263	0.9185516443
264	0.9185131952
265	0.9184859898
266	0.918434872
267	0.9183991851
268	0.9183575511
269	0.9183017868
270	0.9182705161
271	0.9182371741
272	0.9182041401
273	0.9181559509
274	0.9181238055
275	0.9180922854
276	0.9180693319
277	0.9180561332
278	0.9179762132
279	0.9179443951
280	0.9179179012
281	0.9178668422
282	0.9178286523
283	0.9177808738
284	0.9176933161
285	0.9176861264
286	0.917653922
287	0.9176309144
288	0.9175966953
289	0.9175730055
290	0.9175317893
291	0.9175232141
292	0.9174885546
293	0.9174728722
294	0.9173661709
295	0.9172923107
296	0.9172384773
297	0.9171968134
298	0.9171639609
299	0.9171330292
300	0.9170995124
301	0.9170928532
302	0.9169990344
303	0.9169798464
304	0.916960146
305	0.9169388597
306	0.9169179431
307	0.9168699253
308	0.9167847043
309	0.9167580031
310	0.9167174189
311	0.9166867917
312	0.9166654234
313	0.9166451598
314	0.9166017514
315	0.9165804337
316	0.9165639062
317	0.9165321736
318	0.9165181593
319	0.9164953966
320	0.916459154
321	0.9163999029
322	0.9163768911
323	0.9162896341
324	0.9161441405
325	0.9161265253
326	0.9161186548
327	0.9161011127
328	0.9160802466
329	0.9160591587
330	0.916020683
331	0.9160126227
332	0.9159667204
333	0.915897517
334	0.9158585653
335	0.915837136
336	0.915813033
337	0.9157846437
338	0.915760041
339	0.9157162767
340	0.9156869026
341	0.9156626513
342	0.9156523273
343	0.915641246
344	0.9156093931
345	0.9155898152
346	0.9155655882
347	0.9155304378
348	0.9155229235
349	0.9155091703
350	0.9154609929
351	0.9154488617
352	0.9154174499
353	0.9153902477
354	0.9153125951
355	0.9152947349
356	0.9152757769
357	0.9152457339
358	0.9151815371
359	0.9151216583
360	0.91510167
361	0.9150507271
362	0.9150401012
363	0.91500645
364	0.9149798943
365	0.9149345508
366	0.9149120967
367	0.9149071269
368	0.9148976366
369	0.9148573749
370	0.9148321759
371	0.9148264468
372	0.9147958257
373	0.9147649849
374	0.9147277121
375	0.914718785
376	0.9147019631
377	0.9146289751
378	0.9146013549
379	0.9145505647
380	0.9145416617
381	0.9145199052
382	0.9144697809
383	0.9144503872
384	0.9144394027
385	0.914420826
386	0.9143858871
387	0.9143372779
388	0.9142877034
389	0.9142791876
390	0.9142721905
391	0.9142446562
392	0.914231599
393	0.9141817273
394	0.914171285
395	0.9141635948
396	0.9141490505
397	0.9141047292
398	0.9140624438
399	0.9140552884
400	0.9140382408
401	0.9140113725
402	0.9139910636
403	0.9139779074
404	0.9139583025
405	0.9139363874
406	0.9139120709
407	0.9138724015
408	0.9138468139
409	0.9138075815
410	0.9137623889
411	0.9137384055
412	0.9137169553
413	0.9136589847
414	0.9136532367
415	0.9136395181
416	0.9136247975
417	0.9135784619
418	0.9135617744
419	0.9135358119
420	0.9135149025
421	0.9135038136
422	0.9134984498
423	0.9134906266
424	0.9134829562
425	0.9134670364
426	0.9134513768
427	0.913436464
428	0.9134176517
429	0.9134121977
430	0.9133811086
431	0.9133737379
432	0.9133579104
433	0.9133538171
434	0.9133057578
435	0.9132640297
436	0.913243795
437	0.9132094745
438	0.9131772105
439	0.9131588191
440	0.9131414432
441	0.9131137025
442	0.9130703374
443	0.9130285216
444	0.913013055
445	0.9129884341
446	0.9129661332
447	0.912936003
448	0.9129124601
449	0.9128803531
450	0.9128487188
451	0.9128035668
452	0.9127748711
453	0.9127560763
454	0.9127439914
455	0.9127308951
456	0.9127179432
457	0.9126819523
458	0.9126725684
459	0.9126618491
460	0.9126436214
461	0.9126321018
462	0.9126037617
463	0.9125682809
464	0.912552632
465	0.9125261011
466	0.912503163
467	0.9124689145
468	0.9124642429
469	0.9124387773
470	0.9124227542
471	0.9124089191
472	0.9124033726
473	0.91239496
474	0.9123676873
475	0.9123590566
476	0.912355099
477	0.912287725
478	0.9122487642
479	0.9122194286
480	0.9122011733
481	0.9121813939
482	0.9121585792
483	0.9121388882
484	0.9121135629
485	0.9120930509
486	0.9120768538
487	0.9120671605
488	0.9120546062
489	0.9120232635
490	0.9119750468
491	0.9119463431
492	0.911932072
493	0.9119137475
494	0.9119108225
495	0.9118658104
496	0.9118310146
497	0.9118216262
498	0.9118033015
499	0.9117506955
500	0.9117282873
501	0.9117020751
502	0.9116762885
