iter	Passed	Remaining
0	286	286572
1	531	265024
2	772	256716
3	1053	262280
4	1287	256239
5	1522	252298
6	1770	251169
7	2015	249951
8	2291	252333
9	2489	246416
10	2737	246087
11	2985	245771
12	3225	244879
13	3450	242992
14	3690	242321
15	3937	242143
16	4186	242088
17	4443	242411
18	4679	241634
19	4936	241899
20	5158	240468
21	5410	240531
22	5652	240103
23	5911	240416
24	6167	240515
25	6401	239808
26	6657	239899
27	6890	239185
28	7143	239175
29	7403	239377
30	7654	239263
31	7907	239207
32	8162	239176
33	8388	238339
34	8634	238071
35	8882	237842
36	9136	237788
37	9399	237955
38	9638	237510
39	9889	237352
40	10138	237142
41	10381	236787
42	10616	236275
43	10872	236226
44	11125	236099
45	11376	235929
46	11615	235531
47	11840	234833
48	12093	234704
49	12333	234338
50	12574	233984
51	12831	233932
52	13068	233510
53	13333	233590
54	13600	233674
55	13849	233454
56	14110	233446
57	14356	233169
58	14612	233056
59	14866	232909
60	15127	232869
61	15363	232435
62	15616	232270
63	15872	232135
64	16109	231730
65	16340	231238
66	16578	230861
67	16830	230671
68	17012	229544
69	17247	229141
70	17445	228261
71	17693	228043
72	17948	227923
73	18201	227765
74	18455	227619
75	18708	227455
76	18974	227446
77	19226	227268
78	19467	226956
79	19711	226687
80	19965	226518
81	20219	226354
82	20475	226222
83	20737	226138
84	20995	226014
85	21251	225862
86	21522	225862
87	21773	225654
88	21995	225145
89	22245	224929
90	22515	224910
91	22751	224544
92	22995	224268
93	23246	224057
94	23499	223865
95	23756	223702
96	24008	223502
97	24258	223279
98	24510	223066
99	24757	222816
100	25014	222650
101	25263	222418
102	25515	222211
103	25771	222033
104	26023	221816
105	26288	221717
106	26559	221659
107	26807	221413
108	27062	221219
109	27327	221101
110	27528	220477
111	27775	220217
112	28021	219958
113	28273	219740
114	28495	219288
115	28754	219131
116	29009	218936
117	29274	218815
118	29536	218666
119	29792	218479
120	30060	218371
121	30316	218181
122	30557	217879
123	30816	217703
124	31076	217535
125	31332	217341
126	31590	217151
127	31855	217014
128	32113	216824
129	32375	216664
130	32634	216481
131	32891	216283
132	33146	216078
133	33411	215926
134	33667	215721
135	33916	215471
136	34154	215146
137	34406	214914
138	34659	214691
139	34909	214443
140	35151	214148
141	35399	213889
142	35653	213672
143	35910	213466
144	36164	213247
145	36416	213008
146	36664	212753
147	36899	212421
148	37152	212190
149	37404	211958
150	37637	211615
151	37889	211385
152	38145	211170
153	38399	210945
154	38653	210722
155	38905	210490
156	39141	210165
157	39385	209887
158	39621	209568
159	39873	209338
160	40118	209063
161	40366	208807
162	40599	208477
163	40851	208242
164	41095	207969
165	41353	207764
166	41600	207506
167	41863	207323
168	42123	207127
169	42379	206910
170	42629	206667
171	42884	206445
172	43138	206218
173	43389	205973
174	43650	205781
175	43906	205564
176	44150	205285
177	44395	205015
178	44653	204807
179	44907	204580
180	45126	204190
181	45377	203947
182	45624	203689
183	45883	203483
184	46136	203248
185	46380	202975
186	46627	202715
187	46883	202497
188	47130	202236
189	47377	201975
190	47628	201734
191	47883	201510
